,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,2325432676,235263399664,"(0.9220501780509949, 0.38943639397621155)","(79.6275863647461, 75.77310943603516, 16.93734359741211)",1,6.0552978515625,1,"(-48.88519287109375, -1.9494843482971191, 556.5185546875)","(0.6211909651756287, 0.5039843916893005, 0.251370906829834)",1,"(0.9583590030670166, 0.4517311155796051)","(86.4779281616211, 68.87045288085938, 14.424964904785156)",1,5.378387451171875,1,"(11.630271911621094, -1.2942252159118652, 548.4649658203125)","(0.4709632396697998, 0.5016229152679443, 0.229551762342453)",1,not_attentive
timestep_2,2326249376,235264216391,"(0.937659740447998, 0.40336185693740845)","(82.5726089477539, 74.23006439208984, 16.375764846801758)",1,5.9242095947265625,1,"(-46.83675003051758, -0.8244094848632812, 555.318359375)","(0.6164306998252869, 0.5012035965919495, 0.248433917760849)",1,"(0.9629191160202026, 0.4608020782470703)","(87.33827209472656, 67.86531066894531, 14.059183120727539)",1,5.2068328857421875,1,"(13.800532341003418, -0.9308154582977295, 547.38330078125)","(0.4654196500778198, 0.5006701946258545, 0.2273227870464325)",1,not_attentive
timestep_3,2327049414,235265016402,"(0.6806125044822693, 0.09549836814403534)","(34.075897216796875, 108.3433609008789, 28.791927337646484)",1,5.999908447265625,1,"(-47.99158477783203, 0.09073532372713089, 554.9189453125)","(0.6193919777870178, 0.49898049235343933, 0.24781574308872223)",1,"(0.6736785769462585, 0.1398603618144989)","(32.76768112182617, 103.4277572631836, 27.00284194946289)",1,5.3339691162109375,1,"(12.674772262573242, 0.09297032654285431, 546.4440307617188)","(0.46820709109306335, 0.4981221854686737, 0.2252640426158905)",1,not_attentive
timestep_4,2327866123,235265833026,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.1623707115650177, -1.5147243738174438)","(-124.96851348876953, 286.76654052734375, 93.73269653320312)",1,5.1847686767578125,1,"(11.46647834777832, 7.061018943786621, 552.4769287109375)","(0.4716836214065552, 0.4814736247062683, 0.23869894444942474)",1,not_attentive
timestep_5,2328674348,235266641357,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,not_attentive
timestep_6,2329491200,235267458160,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.9164332747459412, -1.0984373092651367)","(-267.23638916015625, 240.63922119140625, 76.9437484741211)",1,4.97113037109375,1,"(7.851264953613281, 2.4761128425598145, 539.6641845703125)","(0.4801429510116577, 0.4919029772281647, 0.21044722199440002)",1,not_attentive
timestep_7,2330307900,235268274877,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,not_attentive
timestep_8,2331107936,235269074864,"(0.6417545676231384, 0.39122870564460754)","(26.7446231842041, 75.57451629638672, 16.86504364013672)",1,5.384307861328125,1,"(-49.627471923828125, -1.4907898902893066, 549.6981201171875)","(0.6247806549072266, 0.5026178359985352, 0.236759752035141)",1,"(0.587100088596344, 0.411627858877182)","(16.43303871154785, 73.31414031982422, 16.042394638061523)",1,4.684967041015625,1,"(10.328475952148438, -0.216525137424469, 540.1673583984375)","(0.4737907946109772, 0.49860715866088867, 0.21150526404380798)",1,not_attentive
timestep_9,2331924633,235269891562,"(0.8797707557678223, 0.5117112994194031)","(71.65078735351562, 62.22425079345703, 12.005969047546387)",1,5.8088531494140625,1,"(-48.369075775146484, -2.753066062927246, 547.37646484375)","(0.6222175359725952, 0.5056138634681702, 0.2314508855342865)",1,"(0.8840470314025879, 0.5320276021957397)","(72.45759582519531, 59.973060607910156, 11.1866455078125)",1,4.976837158203125,1,"(11.98513412475586, -2.6155104637145996, 537.8514404296875)","(0.46937039494514465, 0.5044729709625244, 0.20645885169506073)",1,not_attentive
timestep_10,2332724667,235270691534,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.9365763664245605, -0.6204699873924255)","(-271.0367736816406, 187.67730712890625, 57.667198181152344)",1,4.8584136962890625,1,"(6.397019386291504, -2.26481294631958, 543.129150390625)","(0.4839581847190857, 0.5038408637046814, 0.21773642301559448)",1,not_attentive
