,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1386732326,234324705306,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,attentive
timestep_2,1387532359,234325505322,"(0.3902299404144287, 0.22102828323841095)","(-20.710163116455078, 94.43382263183594, 23.72930908203125)",1,6.1275482177734375,1,"(-53.713531494140625, 71.48236846923828, 540.4668579101562)","(0.6380926966667175, 0.32117921113967896, 0.23067282140254974)",1,"(0.39578506350517273, 0.20653682947158813)","(-19.66208267211914, 96.03956604003906, 24.313772201538086)",1,5.5717620849609375,1,"(7.0902323722839355, 70.39753723144531, 532.8759765625)","(0.48238450288772583, 0.32036489248275757, 0.20845137536525726)",1,attentive
timestep_3,1388349059,234326322066,"(0.3442767560482025, 0.23836946487426758)","(-29.380077362060547, 92.51229858398438, 23.029953002929688)",1,5.3165130615234375,1,"(-53.49250793457031, 70.94564819335938, 539.0126342773438)","(0.6379539966583252, 0.3219744861125946, 0.22734269499778748)",1,"(0.33694472908973694, 0.22752206027507782)","(-30.76340675354004, 93.71427154541016, 23.46742057800293)",1,4.8038787841796875,1,"(7.121840953826904, 69.8153076171875, 530.072021484375)","(0.4821878969669342, 0.32077693939208984, 0.20223693549633026)",1,attentive
timestep_4,1389165763,234327138792,"(0.5531566143035889, 0.1360979825258255)","(10.028975486755371, 103.84464263916016, 27.15458869934082)",1,5.9713287353515625,1,"(-51.338748931884766, 71.3678970336914, 538.1734619140625)","(0.6326903104782104, 0.32060056924819946, 0.22523896396160126)",1,"(0.5517945885658264, 0.15609338879585266)","(9.772001266479492, 101.62902069091797, 26.348175048828125)",1,5.3532867431640625,1,"(9.341079711914062, 69.89582824707031, 529.729248046875)","(0.4763599932193756, 0.32041096687316895, 0.20159912109375)",1,attentive
timestep_5,1389965802,234327938777,"(0.4668678045272827, 0.1377553790807724)","(-6.250999450683594, 103.6609878540039, 27.087739944458008)",1,4.8328094482421875,1,"(-50.63351058959961, 70.8510513305664, 534.554443359375)","(0.6319035887718201, 0.3205339312553406, 0.21718432009220123)",1,"(0.44676584005355835, 0.11045153439044952)","(-10.04361629486084, 106.68643951416016, 28.188936233520508)",1,4.4029998779296875,1,"(10.192587852478027, 69.09444427490234, 527.076171875)","(0.4739699959754944, 0.3214294910430908, 0.1956716775894165)",1,attentive
timestep_6,1390765838,234328738752,"(0.3680771589279175, 0.012991138733923435)","(-24.88969612121582, 117.48568725585938, 32.119529724121094)",1,4.3851776123046875,1,"(-53.37376403808594, 71.46726989746094, 534.0010986328125)","(0.6391441226005554, 0.31878554821014404, 0.21676278114318848)",1,"(0.376843124628067, -0.002389084780588746)","(-23.235830307006836, 119.1899185180664, 32.739810943603516)",1,4.1031036376953125,1,"(7.3470306396484375, 70.13516998291016, 525.5162353515625)","(0.4814140200614929, 0.3182191252708435, 0.19255436956882477)",1,attentive
timestep_7,1391582546,234329555385,"(0.3321557641029358, 0.006450544577091932)","(-31.66693115234375, 118.2104263305664, 32.3833122253418)",1,4.5790557861328125,1,"(-57.07890319824219, 69.8883285522461, 533.6756591796875)","(0.6488057971000671, 0.32265037298202515, 0.21636870503425598)",1,"(0.33558276295661926, -0.017597626894712448)","(-31.020366668701172, 120.87511444091797, 33.35318374633789)",1,4.248291015625,1,"(3.6336045265197754, 69.17158508300781, 524.7769165039062)","(0.4912126362323761, 0.3204527199268341, 0.19057059288024902)",1,attentive
timestep_8,1392382574,234330355437,"(0.4016324579715729, 0.007302532903850079)","(-18.558860778808594, 118.11602020263672, 32.34894943237305)",1,4.7684326171875,1,"(-55.351036071777344, 71.5189208984375, 532.7406005859375)","(0.6446442604064941, 0.31818199157714844, 0.2145092487335205)",1,"(0.4078751504421234, -0.06362568587064743)","(-17.381061553955078, 125.97532653808594, 35.20951843261719)",1,4.339874267578125,1,"(5.4537858963012695, 70.80091857910156, 525.20654296875)","(0.486417293548584, 0.3164258897304535, 0.19205772876739502)",1,attentive
timestep_9,1393199278,234331172197,"(0.3914065361022949, -0.014734303578734398)","(-20.48816680908203, 120.55784606933594, 33.23768615722656)",1,4.6600341796875,1,"(-54.952552795410156, 74.75753021240234, 539.9685668945312)","(0.6414177417755127, 0.31284859776496887, 0.23094137012958527)",1,"(0.395714670419693, -0.02719665691256523)","(-19.675363540649414, 121.93875122070312, 33.74032211303711)",1,4.382965087890625,1,"(5.984536170959473, 73.44750213623047, 532.7601928710938)","(0.4852829575538635, 0.312650203704834, 0.20917505025863647)",1,attentive
timestep_10,1393999319,234331972352,"(0.3444663882255554, 0.06196578964591026)","(-29.344303131103516, 112.05897521972656, 30.14436912536621)",1,4.7568817138671875,1,"(-57.57891845703125, 72.00395965576172, 535.5889892578125)","(0.6494914293289185, 0.31805673241615295, 0.22125336527824402)",1,"(0.3421686887741089, 0.04537998512387276)","(-29.777807235717773, 113.89678955078125, 30.813270568847656)",1,4.454376220703125,1,"(3.120889186859131, 70.74081420898438, 526.716552734375)","(0.49261602759361267, 0.31720036268234253, 0.19524270296096802)",1,attentive
timestep_11,1394816019,234332788984,"(0.34174543619155884, 0.0747108981013298)","(-29.857666015625, 110.64673614501953, 29.63035011291504)",1,4.42474365234375,1,"(-59.395877838134766, 74.54608154296875, 534.8233032226562)","(0.6544329524040222, 0.311383455991745, 0.22087600827217102)",1,"(0.34191885590553284, 0.031115896999835968)","(-29.82493782043457, 115.47734069824219, 31.38855743408203)",1,4.1122589111328125,1,"(1.3339283466339111, 73.44595336914062, 525.8775634765625)","(0.4973461627960205, 0.30999839305877686, 0.19432492554187775)",1,attentive
timestep_12,1395632722,234333605702,"(0.34710556268692017, 0.024971164762973785)","(-28.846370697021484, 116.15821838378906, 31.63636589050293)",1,4.1868896484375,1,"(-57.46668243408203, 71.69976806640625, 533.349365234375)","(0.6499236822128296, 0.31796663999557495, 0.21634189784526825)",1,"(0.34941259026527405, -0.07606667280197144)","(-28.411109924316406, 127.35387420654297, 35.711246490478516)",1,3.814117431640625,1,"(3.2800755500793457, 70.44662475585938, 524.8300170898438)","(0.49216046929359436, 0.31721752882003784, 0.1910940408706665)",1,attentive
timestep_13,1396432758,234334405644,"(0.5331904888153076, -0.0014652928803116083)","(6.261996746063232, 119.08755493164062, 32.70255661010742)",1,4.2821807861328125,1,"(-57.01103591918945, 72.6038589477539, 531.6068115234375)","(0.6493141651153564, 0.31501147150993347, 0.21281087398529053)",1,"(0.5336871147155762, -0.12064533680677414)","(6.355698585510254, 132.29347229003906, 37.509132385253906)",1,3.804656982421875,1,"(3.7469403743743896, 71.35746765136719, 523.9328002929688)","(0.4909130036830902, 0.314528226852417, 0.1894727647304535)",1,attentive
timestep_14,1397249460,234335222298,"(0.4120559096336365, -0.0045317732729017735)","(-16.59229278564453, 119.4273452758789, 32.82622528076172)",1,4.4507904052734375,1,"(-55.718894958496094, 71.77236938476562, 530.388427734375)","(0.6463437080383301, 0.3166380226612091, 0.20964421331882477)",1,"(0.3976658880710602, -0.0592801533639431)","(-19.307233810424805, 125.49381256103516, 35.03425598144531)",1,4.077239990234375,1,"(5.213198661804199, 70.41363525390625, 523.2361450195312)","(0.48699337244033813, 0.3166523873806, 0.187691330909729)",1,attentive
timestep_15,1398049500,234336022347,"(0.3524046540260315, 0.007518088910728693)","(-27.84659767150879, 118.09213256835938, 32.34025573730469)",1,4.1316070556640625,1,"(-56.72106170654297, 71.83499908447266, 529.0411376953125)","(0.6493894457817078, 0.3159599006175995, 0.20700949430465698)",1,"(0.3334140181541443, -0.014560352079570293)","(-31.429536819458008, 120.53856658935547, 33.23069763183594)",1,3.8085784912109375,1,"(4.1843342781066895, 70.83723449707031, 521.519775390625)","(0.4896918535232544, 0.314905047416687, 0.18412315845489502)",1,attentive
timestep_16,1398866202,234336839040,"(0.6921047568321228, -0.007452040910720825)","(36.24412536621094, 119.75093078613281, 32.94399642944336)",1,3.7159881591796875,1,"(-50.3940544128418, 76.08251953125, 527.90673828125)","(0.63322913646698, 0.30468863248825073, 0.20466560125350952)",1,"(0.709350049495697, -0.1468682438135147)","(39.49777603149414, 135.1991424560547, 38.56672286987305)",1,3.273712158203125,1,"(10.558212280273438, 74.47038269042969, 521.7874755859375)","(0.4727320671081543, 0.305564820766449, 0.18611688911914825)",1,attentive
timestep_17,1399682904,234337655785,"(0.713952362537384, -0.0034329767804592848)","(40.36607360839844, 119.30558013916016, 32.781917572021484)",1,3.841705322265625,1,"(-50.250022888183594, 76.36178588867188, 524.9017333984375)","(0.6337338089942932, 0.3027314245700836, 0.19831369817256927)",1,"(0.7372686862945557, -0.15095065534114838)","(44.765132904052734, 135.65150451660156, 38.731346130371094)",1,3.36846923828125,1,"(10.836874008178711, 74.46197509765625, 519.9716186523438)","(0.471874475479126, 0.3048298954963684, 0.18222960829734802)",1,attentive
timestep_18,1400482939,234338455781,"(0.7051260471343994, -0.006763435434550047)","(38.7008171081543, 119.67462158203125, 32.91624069213867)",1,3.87103271484375,1,"(-50.94908142089844, 76.62557220458984, 523.9564819335938)","(0.635860800743103, 0.3016621470451355, 0.1965290904045105)",1,"(0.7184199690818787, -0.13434110581874847)","(41.20897674560547, 133.81106567382812, 38.06147766113281)",1,3.3723907470703125,1,"(10.168603897094727, 74.60688018798828, 518.5380859375)","(0.47357961535453796, 0.30386799573898315, 0.179175466299057)",1,attentive
timestep_19,1401299641,234339272523,"(0.717846691608429, 0.048410918563604355)","(41.100807189941406, 113.56095123291016, 30.691028594970703)",1,4.1115264892578125,1,"(-52.603416442871094, 74.1590576171875, 524.2703857421875)","(0.6401166319847107, 0.3081180155277252, 0.19669149816036224)",1,"(0.7082859873771667, -0.07769356667995453)","(39.297000885009766, 127.53414916992188, 35.77685546875)",1,3.6415863037109375,1,"(8.460171699523926, 72.51776123046875, 519.0330200195312)","(0.4781750440597534, 0.30950576066970825, 0.17945529520511627)",1,attentive
timestep_20,1402116349,234340089208,"(0.4471467137336731, 0.15606723725795746)","(-9.97175407409668, 101.63191223144531, 26.349231719970703)",1,3.980743408203125,1,"(-55.08928680419922, 69.57072448730469, 523.0723266601562)","(0.6470345854759216, 0.31941917538642883, 0.19314667582511902)",1,"(0.43747860193252563, 0.09684966504573822)","(-11.79582691192627, 108.19361877441406, 28.737485885620117)",1,3.6979217529296875,1,"(5.96352481842041, 68.17805480957031, 517.588623046875)","(0.4847875237464905, 0.32020771503448486, 0.17484264075756073)",1,attentive
timestep_21,1402916384,234340889184,"(0.3714655041694641, 0.16533754765987396)","(-24.25041961669922, 100.60470581054688, 25.97535514831543)",1,4.0239410400390625,1,"(-56.51458740234375, 69.0367660522461, 521.4908447265625)","(0.6513289213180542, 0.32018598914146423, 0.18991459906101227)",1,"(0.35350853204727173, 0.10499239712953568)","(-27.638336181640625, 107.29135131835938, 28.409067153930664)",1,3.70745849609375,1,"(4.491321563720703, 67.69515991210938, 515.4755859375)","(0.48869216442108154, 0.32066333293914795, 0.17011293768882751)",1,attentive
timestep_22,1403733085,234341705908,"(0.3108295202255249, 0.28514963388442993)","(-35.69051742553711, 87.3287582397461, 21.143295288085938)",1,3.8856353759765625,1,"(-57.55808639526367, 68.23358154296875, 520.1435546875)","(0.6545541882514954, 0.32174158096313477, 0.18701796233654022)",1,"(0.28402966260910034, 0.2489175647497177)","(-40.74681091308594, 91.34349822998047, 22.604568481445312)",1,3.621246337890625,1,"(3.4215781688690186, 66.92768859863281, 514.0365600585938)","(0.49155130982398987, 0.32212144136428833, 0.16675521433353424)",1,attentive
timestep_23,1404533120,234342505983,"(0.45140784978866577, 0.2783468961715698)","(-9.167810440063477, 88.08253479003906, 21.417659759521484)",1,3.75152587890625,1,"(-57.52124786376953, 67.32742309570312, 519.8326416015625)","(0.6545578241348267, 0.3239629566669464, 0.18605677783489227)",1,"(0.4363970160484314, 0.21016263961791992)","(-11.99988079071045, 95.6377944946289, 24.167556762695312)",1,3.406707763671875,1,"(3.4908347129821777, 66.10321044921875, 513.7525634765625)","(0.49135076999664307, 0.3241635262966156, 0.16588307917118073)",1,attentive
timestep_24,1405349822,234343322523,"(0.5069529414176941, 0.2759647071361542)","(1.3117958307266235, 88.34649658203125, 21.51373291015625)",1,3.6410064697265625,1,"(-56.73244857788086, 66.73863220214844, 519.812255859375)","(0.6524612307548523, 0.32547321915626526, 0.18564479053020477)",1,"(0.49420908093452454, 0.2299157977104187)","(-1.092561960220337, 93.44902038574219, 23.370874404907227)",1,3.3778076171875,1,"(4.316627025604248, 65.35955047607422, 514.0850830078125)","(0.4891103506088257, 0.3262197971343994, 0.16637732088565826)",1,attentive
timestep_25,1406149857,234344122665,"(0.47994810342788696, 0.36471128463745117)","(-3.7831666469573975, 78.51277923583984, 17.934587478637695)",1,3.476806640625,1,"(-57.40780258178711, 68.94855499267578, 519.0775146484375)","(0.6545254588127136, 0.31947994232177734, 0.18493413925170898)",1,"(0.47551217675209045, 0.3059973120689392)","(-4.620081901550293, 85.01869201660156, 20.302486419677734)",1,3.1721343994140625,1,"(3.63944673538208, 67.5995101928711, 513.6087036132812)","(0.49095675349235535, 0.3201974928379059, 0.16605423390865326)",1,attentive
timestep_26,1406966566,234344939474,"(0.4459550678730011, 0.16020238399505615)","(-10.19658374786377, 101.17372131347656, 26.182451248168945)",1,3.325836181640625,1,"(-58.135337829589844, 69.42772674560547, 518.7125854492188)","(0.6565955877304077, 0.3180995583534241, 0.1844804883003235)",1,"(0.429900199174881, 0.03189140930771828)","(-13.225632667541504, 115.39141082763672, 31.357276916503906)",1,2.9595947265625,1,"(2.9829726219177246, 68.16487121582031, 512.756591796875)","(0.4927303194999695, 0.31839442253112793, 0.16439686715602875)",1,attentive
timestep_27,1407766600,234345739294,"(0.4465975761413574, 0.18589064478874207)","(-10.07536792755127, 98.32730102539062, 25.14642333984375)",1,3.7147979736328125,1,"(-58.83380126953125, 67.99658966064453, 518.6673583984375)","(0.6584665775299072, 0.32179075479507446, 0.18408866226673126)",1,"(0.4359859228134155, 0.10940582305192947)","(-12.077439308166504, 106.80230712890625, 28.23109245300293)",1,3.3868560791015625,1,"(2.2666635513305664, 66.84441375732422, 512.9229736328125)","(0.4946708381175995, 0.32192444801330566, 0.1643204391002655)",1,attentive
timestep_28,1408583301,234346556140,"(0.44659683108329773, 0.19475886225700378)","(-10.0755033493042, 97.34464263916016, 24.788772583007812)",1,3.635986328125,1,"(-59.127113342285156, 67.98115539550781, 518.51904296875)","(0.6593018174171448, 0.3217746317386627, 0.18383722007274628)",1,"(0.4392058849334717, 0.13302947580814362)","(-11.469945907592773, 104.18465423583984, 27.27834701538086)",1,3.316436767578125,1,"(1.9670886993408203, 66.94580078125, 512.9091186523438)","(0.4954865872859955, 0.3216583728790283, 0.16432057321071625)",1,attentive
